level_name,num_triplets,complete_accuracy,partial_accuracy,roc_auc,mean_same_scene_similarity,mean_diff_scene_similarity_a_n,mean_diff_scene_similarity_p_n,mean_delta_ap_an,mean_delta_ap_pn,avg_same_diff_delta,t_statistic_ap_an,p_value_ap_an,cohens_d_ap_an,t_statistic_ap_pn,p_value_ap_pn,cohens_d_ap_pn,model,layer_depth
features,300,0.6866666666666666,0.8033333333333333,0.7442833333333333,0.9717770653963089,0.9559621320168177,0.9560093649228414,0.01581493337949117,0.015767700473467507,0.01579131692647934,11.229425039130733,1.1959061855859458e-24,0.6494144150857741,11.696718356224396,2.816189809364834e-26,0.676438685138878,ViT-L-14_laion2b_s32b_b82k,0
features,300,0.6866666666666666,0.7733333333333333,0.7475555555555555,0.9754741557439168,0.9607112564643224,0.9604234208663305,0.014762899279594422,0.015050734877586364,0.014906817078590394,11.617593071043581,5.334081505397303e-26,0.6718627515915412,12.323404322202505,1.6980075502650007e-28,0.712680869844022,MobileCLIP-B_datacompdr_lt,0
features,42,0.7619047619047619,0.8333333333333334,0.802437641723356,0.9725258506479717,0.9563646529402051,0.9553515258289519,0.016161197707766577,0.017174324819019864,0.01666776126339322,4.70945518989538,2.8410976054792556e-05,0.7354933301045635,5.239512627660916,5.174751660982908e-06,0.8182743936259745,MobileCLIP-S1_datacompdr,0
features,300,0.62,0.7,0.7093277777777777,0.9695652637879054,0.9534390171368917,0.9528697021802266,0.01612624665101369,0.01669556160767873,0.01641090412934621,10.027465297271169,1.371178087848794e-20,0.5799032890331765,10.562449549425601,2.265030704775463e-22,0.6108422270223964,MobileCLIP-S2_datacompdr,0
features,300,0.6166666666666667,0.7633333333333333,0.7333833333333334,0.9781542730331421,0.9637718558311462,0.9634132089217504,0.01438241720199585,0.014741064111391703,0.014561740656693776,11.256849806330454,9.61277950504586e-25,0.6510004300435538,11.741179742801624,1.9655898056556057e-26,0.6790099532884837,nllb-clip-base-siglip_mrl,0
features,300,0.7133333333333334,0.8166666666666667,0.7803416666666666,0.9805943328142166,0.9635838154951731,0.9635352253913879,0.01701051731904348,0.017059107422828675,0.017034812370936077,13.413755534701409,1.9332621373305932e-32,0.7757375084086352,13.806126355545285,7.025890788484287e-34,0.7984288986655081,nllb-clip-base-siglip_v1,0
features,300,0.62,0.7566666666666667,0.7481888888888889,0.9568261663118999,0.9372970598936081,0.9375926242272059,0.01952910641829173,0.019233542084693907,0.019381324251492818,12.086084552684222,1.1887025733818734e-27,0.6989563140807813,11.650531788373039,4.0894564283062047e-26,0.6737676474960808,nllb-clip-base_v1,0
features,300,0.7133333333333334,0.82,0.7784000000000001,0.9801208313306172,0.9574743668238322,0.9570223782459895,0.022646464506785074,0.02309845308462779,0.02287245879570643,11.79605557583347,1.260242510857821e-26,0.6821835057258585,12.568201516013309,2.2532812101924418e-29,0.7268378581799864,nllb-clip-large-siglip_mrl,0
features,300,0.77,0.86,0.8178555555555557,0.9795963003238042,0.952878406047821,0.9523372409741083,0.026717894275983176,0.02725905934969584,0.02698847681283951,12.033140658011098,1.8318140894932175e-27,0.6958944902852613,12.705123617375188,7.24395755592034e-30,0.7347562680599964,nllb-clip-large-siglip_v1,0
features,300,0.72,0.82,0.7762388888888888,0.9758221892515818,0.9587469339370728,0.958403497338295,0.017075255314509073,0.017418691913286845,0.01724697361389796,13.082551422229892,3.1170432732495124e-31,0.7565834802168439,13.485015197188664,1.0605850178786435e-32,0.7798585611410548,nllb-clip-large_v1,0
